Age,Job,Marital,Education,Default,Balance,Housing,Loan,Contact,Day,Month,Duration,Campaign,P-days,Previous,P-outcome,Y
34,Management,Single,Tertiary,No,872,Yes,No,N/A,7,May,105,2,-1,0,N/A,No
55,Blue-collar,Married,Primary,No,145,No,No,Telephone,2,February,59,3,5,2,other,No
26,Blue-collar,Married,Primary,No,0,Yes,No,N/A,21,May,425,1,-1,0,N/A,No
32,Entrepreneur,Single,Primary,Yes,-849,Yes,Yes,Cellular,4,February,204,1,-1,0,N/A,No
61,Admin.,Married,N/A,No,4629,Yes,No,Cellular,27,January,181,1,92,1,Success,Yes
45,Blue-collar,Divorced,Primary,No,844,No,No,N/A,5,June,1018,3,-1,0,N/A,Yes
37,Technician,Single,Secondary,No,228,Yes,No,Cellular,20,August,1740,2,-1,0,N/A,No
38,Technician,Single,Secondary,No,50,No,No,Cellular,29,August,98,2,-1,0,N/A,No
34,Technician,Married,Tertiary,No,1539,Yes,No,Cellular,15,June,441,1,56,1,other,Yes
53,Blue-collar,Married,Secondary,No,2231,Yes,No,Cellular,14,July,272,3,-1,0,N/A,No
48,Admin.,Married,Secondary,No,3064,Yes,No,Telephone,15,July,159,2,-1,0,N/A,No
57,Management,Married,Secondary,No,82,No,Yes,Telephone,4,February,140,1,-1,0,N/A,No
33,Self-employed,Single,Tertiary,No,2155,No,No,Cellular,17,November,295,1,-1,0,N/A,No
36,Retired,Single,Secondary,No,101,Yes,Yes,N/A,26,May,314,1,-1,0,N/A,No
54,Technician,Divorced,Secondary,No,784,Yes,Yes,N/A,15,May,579,1,-1,0,N/A,No
41,Blue-collar,Married,Primary,No,-516,No,Yes,Telephone,8,July,554,3,-1,0,N/A,No
63,Retired,Married,Secondary,No,415,Yes,No,Cellular,7,October,323,1,-1,0,N/A,No
48,Management,Married,Tertiary,No,5887,No,No,Cellular,13,August,227,2,-1,0,N/A,No
48,Services,Married,Secondary,No,1355,No,No,Cellular,4,July,134,2,-1,0,N/A,No
56,Admin.,Married,Secondary,No,16873,No,No,Cellular,7,October,223,1,-1,0,N/A,No
51,Blue-collar,Divorced,Secondary,No,203,Yes,No,Cellular,8,May,134,1,170,5,Failure,No
31,Services,Married,Secondary,No,338,Yes,No,Cellular,28,January,155,1,-1,0,N/A,No
29,Technician,Married,Secondary,No,444,Yes,No,Cellular,21,July,130,4,-1,0,N/A,No
41,Management,Married,Secondary,No,0,No,Yes,Cellular,7,July,630,3,-1,0,N/A,No
32,Technician,Single,Tertiary,No,360,No,No,Cellular,19,November,164,2,-1,0,N/A,No
37,Management,Married,Tertiary,No,0,No,No,Cellular,16,July,268,2,182,3,Success,Yes
42,Entrepreneur,Divorced,Tertiary,Yes,2,Yes,No,N/A,5,May,380,1,-1,0,N/A,No
31,Management,Single,Tertiary,No,6248,Yes,No,N/A,9,May,154,2,-1,0,N/A,No
41,Services,Married,Tertiary,No,412,Yes,No,N/A,3,June,154,5,-1,0,N/A,No
56,Retired,Married,Secondary,No,344,Yes,No,N/A,15,May,221,1,-1,0,N/A,No
54,Management,Divorced,Tertiary,No,3222,No,No,Cellular,14,August,67,2,-1,0,N/A,No
41,Blue-collar,Divorced,Secondary,No,174,Yes,No,Cellular,14,May,367,2,297,1,other,No
40,Technician,Single,Secondary,No,591,No,Yes,Cellular,14,August,87,6,-1,0,N/A,No
50,Blue-collar,Divorced,Primary,No,388,No,No,Cellular,5,February,701,1,-1,0,N/A,No
40,Unemployed,Married,Secondary,No,219,Yes,No,Cellular,17,November,204,2,196,1,Failure,No
27,Admin.,Divorced,Secondary,No,451,Yes,No,Cellular,16,July,652,1,-1,0,N/A,Yes
60,Retired,Married,Primary,No,5,No,No,Cellular,26,August,63,2,-1,0,N/A,No
28,Admin.,Single,Secondary,No,177,Yes,Yes,Cellular,6,May,150,1,-1,0,N/A,No
52,Services,Married,Secondary,No,657,No,No,Telephone,7,July,398,2,460,2,Failure,Yes
37,Management,Married,Tertiary,No,1315,No,No,Cellular,30,June,224,1,-1,0,N/A,Yes
51,Blue-collar,Married,Primary,No,1466,Yes,No,N/A,7,May,406,2,-1,0,N/A,No
41,Technician,Single,Secondary,No,879,No,Yes,Cellular,7,July,60,4,-1,0,N/A,No
35,Blue-collar,Single,Primary,No,293,Yes,No,N/A,30,May,521,2,-1,0,N/A,No
38,Admin.,Married,Secondary,No,424,Yes,No,Cellular,17,April,279,1,-1,0,N/A,No
34,Blue-collar,Married,Secondary,No,1831,Yes,No,N/A,20,May,203,2,-1,0,N/A,No
39,Blue-collar,Married,Primary,No,111,No,No,Cellular,18,November,201,2,-1,0,N/A,No
34,Blue-collar,Married,Primary,No,455,Yes,No,N/A,20,June,372,3,-1,0,N/A,No
27,Services,Single,Secondary,No,-195,Yes,No,Cellular,18,May,391,1,-1,0,N/A,Yes
32,Management,Single,Tertiary,No,3616,No,No,Cellular,14,August,165,2,-1,0,N/A,No
57,Blue-collar,Married,Secondary,No,14093,No,No,Cellular,11,August,231,5,-1,0,N/A,No
41,N/A,Single,Tertiary,No,1567,No,No,Cellular,1,July,291,2,-1,0,N/A,No
41,Admin.,Married,Tertiary,No,5426,Yes,No,N/A,14,May,149,2,-1,0,N/A,No
30,Admin.,Single,Tertiary,No,261,No,No,Cellular,19,October,233,1,137,20,Failure,No
36,Blue-collar,Divorced,Secondary,No,2843,No,No,Cellular,12,February,473,1,182,1,Success,No
31,Unemployed,Single,Primary,No,406,No,No,Cellular,4,February,736,1,-1,0,N/A,Yes
36,Blue-collar,Married,Secondary,No,0,Yes,No,N/A,6,May,337,1,-1,0,N/A,No
38,Management,Single,Tertiary,No,493,Yes,No,Cellular,11,May,553,1,367,7,Failure,No
49,Technician,Married,Secondary,No,5996,No,No,Telephone,21,November,345,2,-1,0,N/A,No
57,Services,Single,Primary,No,3777,Yes,No,Telephone,13,May,65,2,-1,0,N/A,No
34,Management,Single,Secondary,No,524,No,No,N/A,13,August,9,1,-1,0,N/A,No
32,Management,Single,Tertiary,No,574,Yes,No,Cellular,14,April,259,2,145,3,Failure,No
37,Blue-collar,Married,Secondary,No,427,Yes,Yes,N/A,9,June,371,3,-1,0,N/A,No
33,Self-employed,Married,Tertiary,No,483,Yes,No,Cellular,3,February,280,2,-1,0,N/A,No
56,Unemployed,Married,Primary,No,3391,No,No,Cellular,21,April,243,1,-1,0,N/A,Yes
27,Housemaid,Married,Primary,No,0,Yes,No,Cellular,23,July,435,3,-1,0,N/A,No
21,Student,Single,Secondary,No,2488,No,No,Cellular,30,June,258,6,169,3,Success,Yes
58,Management,Married,Tertiary,No,1517,Yes,No,Telephone,29,July,7,5,-1,0,N/A,No
32,Self-employed,Married,Secondary,No,217,Yes,Yes,Cellular,15,July,317,5,-1,0,N/A,No
33,Blue-collar,Single,Secondary,No,22,No,No,Cellular,30,January,76,2,207,1,Failure,No
25,Student,Single,Secondary,No,331,No,No,Telephone,26,August,170,4,-1,0,N/A,Yes
25,Technician,Single,Secondary,No,505,No,Yes,Cellular,17,November,386,2,-1,0,N/A,Yes
30,Services,Married,Secondary,No,1808,Yes,No,Cellular,18,May,83,2,-1,0,N/A,No
22,Admin.,Single,Secondary,No,4111,No,Yes,Cellular,19,August,65,1,-1,0,N/A,No
39,Blue-collar,Married,Primary,No,52,No,No,Cellular,13,August,69,1,-1,0,N/A,No
46,Management,Divorced,Tertiary,No,25,No,No,N/A,17,June,564,2,-1,0,N/A,No
31,Admin.,Divorced,Secondary,No,1890,Yes,No,Cellular,21,July,588,1,-1,0,N/A,No
45,Blue-collar,Married,Primary,No,419,No,No,Cellular,18,August,113,4,-1,0,N/A,No
32,Technician,Married,Secondary,No,2693,Yes,No,N/A,21,May,16,1,-1,0,N/A,No
36,Blue-collar,Married,Secondary,No,-231,No,Yes,Cellular,15,July,779,2,-1,0,N/A,No
51,Management,Single,Tertiary,Yes,-55,Yes,No,Cellular,11,May,281,2,266,6,Failure,No
34,Self-employed,Single,Tertiary,No,462,No,No,Cellular,21,August,1877,3,-1,0,N/A,Yes
24,Unemployed,Single,Secondary,No,119,No,No,N/A,15,September,51,1,-1,0,N/A,No
45,Technician,Single,Secondary,No,586,No,Yes,Cellular,28,July,32,3,-1,0,N/A,No
32,Blue-collar,Single,Secondary,No,228,No,No,Telephone,5,February,176,1,288,3,Failure,No
77,Retired,Divorced,Tertiary,No,4659,No,No,Cellular,14,April,161,1,-1,0,N/A,Yes
41,Blue-collar,Married,Primary,No,168,Yes,No,Cellular,18,November,187,3,-1,0,N/A,No
37,Blue-collar,Married,Primary,No,0,Yes,No,N/A,26,May,24,1,-1,0,N/A,No
43,Blue-collar,Married,N/A,Yes,-715,Yes,No,N/A,30,May,67,3,-1,0,N/A,No
48,Admin.,Married,N/A,No,0,Yes,No,Cellular,8,May,85,1,168,2,Failure,No
27,Technician,Single,Secondary,No,769,Yes,No,N/A,9,May,317,2,-1,0,N/A,No
33,Management,Single,Tertiary,No,0,No,No,Cellular,28,August,236,10,-1,0,N/A,No
29,Admin.,Single,Secondary,No,428,Yes,Yes,Cellular,7,May,54,1,345,2,Failure,No
34,Management,Single,Tertiary,No,0,No,No,Cellular,5,February,71,1,-1,0,N/A,No
52,Management,Married,Tertiary,No,-970,Yes,No,Cellular,4,February,489,1,-1,0,N/A,Yes
60,Management,Married,N/A,No,6313,No,No,N/A,19,June,39,2,-1,0,N/A,No
32,Management,Divorced,Tertiary,No,948,No,No,Cellular,12,August,204,2,-1,0,N/A,No
32,Management,Single,Tertiary,No,0,Yes,No,Cellular,22,July,455,2,-1,0,N/A,No
56,Services,Divorced,N/A,No,1877,Yes,No,N/A,30,May,86,1,-1,0,N/A,No
31,Management,Single,Tertiary,No,874,Yes,No,Cellular,18,November,190,2,-1,0,N/A,No
42,Admin.,Married,Secondary,No,323,Yes,Yes,N/A,8,May,280,2,-1,0,N/A,No
35,Management,Married,Tertiary,No,106,No,Yes,Cellular,11,August,588,2,-1,0,N/A,No
56,Retired,Married,Primary,No,1906,No,Yes,N/A,19,June,45,9,-1,0,N/A,No
48,Technician,Married,Secondary,No,1152,Yes,No,Cellular,21,July,168,5,-1,0,N/A,No
46,Admin.,Married,Secondary,No,179,Yes,No,Cellular,29,January,194,4,436,1,other,No
37,Technician,Single,N/A,No,391,Yes,No,N/A,8,May,103,3,-1,0,N/A,No
41,Entrepreneur,Married,N/A,No,89,Yes,No,N/A,6,May,333,2,-1,0,N/A,No
36,Management,Single,Tertiary,No,442,Yes,Yes,Cellular,29,July,102,3,-1,0,N/A,No
45,Unemployed,Divorced,Primary,Yes,-249,Yes,Yes,N/A,1,July,92,1,-1,0,N/A,No
55,Entrepreneur,Married,Secondary,No,8104,No,No,Cellular,6,February,213,2,-1,0,N/A,No
39,Technician,Married,Secondary,No,501,No,No,N/A,26,May,289,1,-1,0,N/A,No
35,Technician,Divorced,Secondary,No,308,No,No,Cellular,22,August,77,2,-1,0,N/A,No
55,Admin.,Married,Secondary,No,602,No,No,Cellular,1,June,324,3,90,2,Success,Yes
55,Technician,Married,Secondary,No,273,Yes,No,Cellular,29,January,84,3,183,3,Failure,No
27,Self-employed,Single,Secondary,No,50,No,No,Cellular,29,January,168,1,-1,0,N/A,No
34,Technician,Married,Secondary,No,1641,Yes,No,Cellular,17,April,380,1,-1,0,N/A,No
34,Blue-collar,Married,Tertiary,No,20,No,No,N/A,4,October,10,1,-1,0,N/A,No
25,Admin.,Single,Secondary,No,4590,Yes,No,N/A,28,May,199,2,-1,0,N/A,No
41,Admin.,Single,Secondary,No,-256,No,Yes,N/A,9,May,35,3,-1,0,N/A,No
43,Services,Married,Secondary,No,978,Yes,Yes,N/A,26,May,82,2,-1,0,N/A,No
28,Management,Single,Tertiary,No,80,No,No,Cellular,20,October,676,2,146,2,Failure,Yes
31,Admin.,Single,Secondary,No,2104,Yes,No,N/A,3,June,455,1,-1,0,N/A,No
78,Housemaid,Married,Secondary,No,499,No,No,Telephone,16,March,80,4,-1,0,N/A,No
45,Blue-collar,Divorced,Secondary,No,1269,Yes,No,Cellular,29,January,549,2,-1,0,N/A,No
48,Technician,Married,Tertiary,No,310,No,No,N/A,6,May,135,1,-1,0,N/A,No
32,Blue-collar,Single,Secondary,No,1143,Yes,Yes,Cellular,10,July,412,1,-1,0,N/A,No
42,Technician,Married,Secondary,No,2980,No,No,N/A,20,June,101,3,-1,0,N/A,No
37,Management,Single,Tertiary,No,37,No,No,Cellular,28,January,253,2,-1,0,N/A,No
40,Admin.,Single,Secondary,No,462,Yes,Yes,Cellular,6,April,272,1,335,4,other,No
32,Admin.,Married,Secondary,No,1031,Yes,No,Cellular,17,July,84,1,-1,0,N/A,No
42,Management,Married,Tertiary,No,9009,No,No,Cellular,20,November,135,2,-1,0,N/A,No
43,Admin.,Married,Secondary,No,-465,Yes,Yes,Cellular,23,July,166,1,-1,0,N/A,No
44,Admin.,Married,Secondary,No,5181,Yes,Yes,Cellular,31,July,18,7,-1,0,N/A,No
37,Admin.,Married,Secondary,No,176,Yes,No,Cellular,5,May,147,2,347,1,Failure,No
37,N/A,Married,N/A,No,1699,No,No,N/A,9,June,63,1,-1,0,N/A,No
37,Admin.,Married,Tertiary,No,0,Yes,No,Cellular,17,November,65,2,119,1,Failure,No
28,Technician,Single,Tertiary,No,172,Yes,Yes,Cellular,2,February,194,2,-1,0,N/A,No
32,Services,Single,Secondary,No,0,No,Yes,Cellular,11,July,333,2,-1,0,N/A,No
34,Admin.,Single,Secondary,No,6979,Yes,No,Cellular,15,May,14,5,-1,0,N/A,No
40,Admin.,Divorced,Secondary,No,6,No,No,N/A,11,June,140,1,-1,0,N/A,No
34,Services,Married,Secondary,No,-62,Yes,No,N/A,16,June,109,3,-1,0,N/A,No
34,Self-employed,Married,Tertiary,No,1972,Yes,No,Cellular,23,July,61,2,-1,0,N/A,No
34,Admin.,Married,Tertiary,No,899,Yes,No,Telephone,19,November,377,3,7,4,Success,No
37,Services,Single,Secondary,No,21,Yes,No,Cellular,2,February,96,1,271,2,other,No
36,Technician,Married,Secondary,No,23,Yes,No,Cellular,8,May,152,2,347,1,Failure,No
56,Retired,Married,Secondary,No,-1206,Yes,No,Cellular,15,June,382,2,-1,0,N/A,Yes
49,Blue-collar,Married,Primary,No,0,Yes,Yes,Telephone,23,July,97,6,-1,0,N/A,No
33,Self-employed,Married,Secondary,No,215,Yes,No,Cellular,29,July,543,12,-1,0,N/A,No
30,Management,Single,Tertiary,No,1372,No,No,Cellular,20,November,240,2,-1,0,N/A,No
36,Services,Married,Secondary,No,1981,No,No,N/A,17,June,48,2,-1,0,N/A,No
23,Student,Single,Secondary,No,9216,No,No,Cellular,5,June,471,2,-1,0,N/A,No
57,Retired,Divorced,Secondary,No,39,Yes,No,Cellular,30,July,354,3,-1,0,N/A,No
27,Blue-collar,Single,Secondary,No,5563,Yes,No,N/A,30,May,435,2,-1,0,N/A,No
38,Services,Married,Secondary,No,1,No,Yes,Cellular,21,November,152,2,-1,0,N/A,No
42,Technician,Married,Tertiary,No,782,No,No,Cellular,3,April,285,1,-1,0,N/A,No
75,Retired,Married,Secondary,No,3771,No,No,Telephone,15,April,185,1,181,2,Success,Yes
34,Technician,Single,Tertiary,No,992,Yes,No,Cellular,4,May,301,1,88,2,Success,No
48,Technician,Married,Secondary,No,1526,No,No,Cellular,6,August,273,2,-1,0,N/A,No
35,Technician,Single,Tertiary,No,2658,Yes,No,Cellular,19,August,768,2,141,3,Failure,Yes
39,Management,Divorced,Tertiary,No,1315,Yes,No,Cellular,19,November,1337,4,126,1,Failure,No
29,Blue-collar,Single,Tertiary,No,455,No,No,Telephone,21,April,403,1,-1,0,N/A,Yes
45,Technician,Single,Tertiary,No,0,Yes,No,Cellular,18,November,139,2,-1,0,N/A,No
42,Technician,Married,Secondary,No,2030,Yes,Yes,Cellular,9,July,196,1,-1,0,N/A,No
29,Technician,Married,Secondary,No,1599,Yes,No,Cellular,8,July,115,1,61,1,Failure,No
38,Services,Single,Secondary,No,-196,Yes,No,Cellular,2,February,60,1,271,1,Failure,No
56,Retired,Married,Secondary,No,1333,No,No,Cellular,28,August,17,14,-1,0,N/A,No
36,Technician,Single,Secondary,No,9149,Yes,No,Cellular,13,August,141,3,-1,0,N/A,No
25,Blue-collar,Single,Secondary,No,-350,Yes,No,N/A,23,June,95,3,-1,0,N/A,No
38,Technician,Married,Tertiary,No,432,Yes,No,Cellular,15,May,10,2,373,1,other,No
57,Self-employed,Married,Secondary,No,11494,No,No,Cellular,19,November,198,1,-1,0,N/A,No
31,Management,Married,Tertiary,Yes,-253,No,No,Cellular,12,August,220,4,-1,0,N/A,No
42,Management,Married,Tertiary,No,372,Yes,No,Cellular,3,August,654,2,-1,0,N/A,Yes
45,Technician,Married,Secondary,No,1410,No,No,Cellular,11,August,71,2,-1,0,N/A,No
30,Blue-collar,Married,Secondary,No,975,Yes,No,Cellular,13,May,256,2,351,2,Failure,No
49,Blue-collar,Married,Primary,No,305,Yes,Yes,Telephone,10,July,834,10,-1,0,N/A,No
49,Services,Married,Secondary,No,400,No,No,Cellular,21,August,151,3,-1,0,N/A,No
53,Retired,Married,Tertiary,No,-22,Yes,No,Cellular,31,July,20,3,-1,0,N/A,No
37,Technician,Married,Secondary,No,4030,Yes,No,N/A,26,May,178,5,-1,0,N/A,No
49,Blue-collar,Married,Primary,No,365,No,No,N/A,26,May,59,2,-1,0,N/A,No
41,Self-employed,Married,Primary,No,204,No,No,Cellular,13,August,111,7,-1,0,N/A,No
54,Management,Married,Primary,No,1691,Yes,No,Cellular,20,November,186,1,-1,0,N/A,No
32,Services,Single,Secondary,No,406,Yes,No,N/A,6,May,227,1,-1,0,N/A,No
33,Technician,Married,Secondary,No,-204,No,No,Cellular,15,May,297,3,-1,0,N/A,No
33,Technician,Married,Secondary,No,359,Yes,No,Cellular,20,April,210,1,242,1,other,No
36,Blue-collar,Married,Primary,No,123,Yes,No,Cellular,18,May,9,1,-1,0,N/A,No
35,Technician,Married,Tertiary,No,0,Yes,Yes,Cellular,23,September,112,1,62,6,other,No
52,N/A,Married,Secondary,No,142,No,No,Cellular,25,August,112,6,-1,0,N/A,No
40,Entrepreneur,Married,Tertiary,No,3571,No,No,N/A,9,June,222,3,-1,0,N/A,No
44,Technician,Single,Secondary,No,33,Yes,No,Cellular,13,May,195,3,351,10,Failure,No
45,Blue-collar,Single,Secondary,No,0,Yes,No,Cellular,26,July,768,2,91,5,Success,No
30,Student,Single,Secondary,No,3096,No,No,Cellular,26,January,123,1,-1,0,N/A,No
48,Technician,Divorced,Secondary,Yes,20,No,No,Cellular,27,August,145,3,-1,0,N/A,No
33,Blue-collar,Married,Secondary,No,3576,Yes,No,Cellular,2,April,124,1,308,2,other,No
57,Technician,Married,N/A,No,206,Yes,No,N/A,5,May,216,3,-1,0,N/A,No
57,Housemaid,Married,Primary,No,7082,No,No,N/A,6,June,69,3,-1,0,N/A,No
51,Unemployed,Married,Tertiary,No,1634,Yes,No,Cellular,22,July,168,4,-1,0,N/A,No
34,Admin.,Single,Secondary,No,1,Yes,No,Cellular,22,July,483,7,-1,0,N/A,No
50,Self-employed,Married,Tertiary,No,4012,No,No,Cellular,19,November,690,3,-1,0,N/A,No
44,Management,Married,Tertiary,No,3762,No,No,Cellular,28,August,125,12,-1,0,N/A,No
27,Admin.,Married,Secondary,No,-247,Yes,Yes,N/A,4,June,344,2,-1,0,N/A,No
50,Blue-collar,Married,Secondary,No,606,Yes,No,N/A,14,May,673,2,-1,0,N/A,No
36,Management,Married,Tertiary,No,0,Yes,No,Cellular,28,January,60,1,250,1,other,No
42,Management,Married,Secondary,No,-189,Yes,No,N/A,12,May,247,2,-1,0,N/A,No
32,Unemployed,Single,Secondary,No,0,No,No,Cellular,27,May,123,2,-1,0,N/A,No
42,Management,Married,Tertiary,No,484,Yes,No,Cellular,11,July,144,2,-1,0,N/A,No
43,Technician,Married,Secondary,No,0,No,Yes,Cellular,8,May,9,2,172,5,Failure,No
31,Management,Married,Tertiary,No,395,Yes,No,Cellular,9,February,155,3,-1,0,N/A,No
32,Management,Married,Tertiary,No,2349,No,No,Cellular,14,August,134,5,-1,0,N/A,No
55,Blue-collar,Divorced,Primary,No,410,No,Yes,Cellular,11,July,221,2,-1,0,N/A,No
58,Retired,Married,Primary,No,3401,Yes,No,Cellular,3,February,84,3,265,2,Failure,No
46,Blue-collar,Married,Primary,No,222,No,No,Cellular,8,August,71,2,-1,0,N/A,No
55,Blue-collar,Married,Secondary,No,989,Yes,Yes,N/A,23,May,246,4,-1,0,N/A,No
34,Management,Married,Tertiary,No,415,No,Yes,Cellular,23,July,361,2,-1,0,N/A,No
28,Unemployed,Single,Secondary,No,16,No,No,Cellular,12,August,119,4,-1,0,N/A,No
42,Technician,Divorced,Tertiary,No,7190,Yes,No,Cellular,29,July,375,2,-1,0,N/A,No
29,Blue-collar,Single,Secondary,No,482,No,Yes,Cellular,10,July,1097,3,-1,0,N/A,Yes
54,Housemaid,Married,Secondary,No,209,Yes,Yes,Cellular,25,July,97,1,-1,0,N/A,No
32,Technician,Single,Secondary,No,0,No,No,Cellular,26,August,181,2,-1,0,N/A,No
39,Technician,Single,Tertiary,No,5803,No,No,Cellular,2,February,83,3,-1,0,N/A,No
53,Entrepreneur,Married,Tertiary,No,624,No,Yes,Cellular,21,July,180,4,-1,0,N/A,No
58,Technician,Married,Tertiary,No,883,No,No,Cellular,18,August,543,1,78,2,Failure,No
40,Self-employed,Married,Secondary,No,1516,Yes,Yes,N/A,23,May,373,1,-1,0,N/A,No
29,Student,Single,Secondary,No,872,Yes,No,N/A,7,May,230,1,-1,0,N/A,No
33,Technician,Married,Tertiary,No,-988,Yes,Yes,Cellular,15,July,83,3,-1,0,N/A,No
38,Admin.,Single,Secondary,No,902,Yes,No,Telephone,31,July,58,13,-1,0,N/A,No
56,Services,Divorced,Secondary,No,1007,No,No,Cellular,29,July,88,6,-1,0,N/A,No
40,Services,Married,Secondary,No,0,Yes,No,Cellular,2,June,297,1,28,3,Failure,No
24,Blue-collar,Single,Secondary,No,174,Yes,Yes,Cellular,18,May,487,1,-1,0,N/A,Yes
46,Management,Married,Secondary,No,12186,No,No,N/A,20,June,29,3,-1,0,N/A,No
35,Self-employed,Married,Secondary,No,524,Yes,No,Cellular,21,November,484,4,-1,0,N/A,No
35,Blue-collar,Single,Tertiary,No,0,Yes,No,Cellular,21,July,262,4,-1,0,N/A,No
34,Technician,Married,Secondary,No,4,Yes,No,N/A,15,May,644,1,-1,0,N/A,No
35,Housemaid,Married,Tertiary,No,11219,No,No,Cellular,12,August,699,2,79,1,Failure,No
38,Technician,Single,Tertiary,No,0,No,No,Cellular,28,August,247,2,-1,0,N/A,No
50,Blue-collar,Married,Primary,No,5776,No,No,Cellular,18,November,49,3,-1,0,N/A,No
51,Blue-collar,Divorced,Primary,No,37,Yes,No,Cellular,13,May,341,1,-1,0,N/A,No
59,Self-employed,Married,Tertiary,No,593,No,No,N/A,13,May,64,2,-1,0,N/A,No
32,Blue-collar,Married,Secondary,No,1148,Yes,No,Cellular,20,April,121,1,-1,0,N/A,No
37,Blue-collar,Single,Secondary,No,3561,Yes,No,N/A,2,June,98,1,-1,0,N/A,No
42,Admin.,Divorced,Secondary,No,63,No,No,N/A,16,May,88,6,-1,0,N/A,No
40,Student,Married,Secondary,No,260,No,No,N/A,20,June,197,6,-1,0,N/A,No
